species,species.names,sp.code,function,taxon,group,eelgrss epifauna,functional trait,invasive,Found in LS
Alia carinata,Alia.carinata,Acar,grazer,gastropod,gastropod,yes,,no,yes
Amph E (dorsal teeth),Amph.E..dorsal.teeth.,AmpE,grazer,amphipod,crustacean,yes,,no,yes
Amphipholis pugetana,Amphipholis.pugetana,Apug,detritovore,echinoderm,echinoderm,no,,no,yes
Ampithoe spp.,Amphithoe.spp.,Amsp,grazer,amphipod,crustacean,yes,herbivorous nest builders,could be ,yes
Phyllodoce sp.,Anaitides.sp.,Ansp,predator,polychaete,polychaete,no,now called phyllodoce,no,yes
Aoroides columbiae,Aoroides.columbiae,Acol,grazer,amphipod,crustacean,yes,tube dwelling suspension feeders,no,yes
Balanus spp.,Balanus.spp.,Bspp,filter.feeder,barnacle,crustacean,sometimes,,no,yes
Callianax sp.,Callianax.sp.,Olsp,carnivorous scavengers,gastropod,gastropod,yes,**Called Callianax now see page 746,no,yes
Caprella spp.,Caprella.spp.,Cspp,grazer,amphipod,crustacean,yes,"scrape microalgae with mandibles, can be suspension feeders or predators is likely one of Caprella laeviuscula or Caprella californica","Caprella mutica: opportuniustic omniovores, predominantly detritivores",yes
Cirolana harfordi,Cirolana.harfordi,Char,predator,isopod,crustacean,sometimes,,no,yes
Cockle,Cockle,Coc,filter.feeder,bivalve,gastropod,no,family Cardiidae,no,yes
Copepod,Copepod,Cops,grazer,copepod,crustacean,yes,,no,yes
Cyprideis beaconensis,Cyprideis.beaconensis,Cypr,grazer,ostracod,crustacean,yes,**did you only see one species? These guys are a taxonomic nightmare,no,yes
Dinophilus sp.,Dinophilus.sp.,Dspp,suspension.feeder,polychaete,polychaete,no,**may be suspensions feeders,no,yes
Eogammarus confervicolus,Eogammarus.confervicolus,Econ,predator,amphipod,crustacean,yes,epibenthic omnivores and zooplankton predators,no,yes
Halacarid mite,Halacarid.mite,Hasp,predator,arachnid,other,sometimes,"predator, parasite, or phytophagous (eats plants)",no,yes
Haminoea sp.,Haminoea.sp.,Hmsp,grazer,gastropod,gastropod,yes,probably only vesicula or japonica,no,yes
Pentidotea resecata,Idotea.resecata,Ires,grazer,isopod,crustacean,yes,**unaccepted in worms but in LS,no,yes
Janua pagenstecheri,Janua.pagastecheri,Jpag,suspension.feeder,polychaete,polychaete,yes,might be sprirorbis,double check,yes
Lacuna spp.,Lacuna.spp.,Lspp,grazer,gastropod,gastropod,yes,,no,yes
Leptochelia dubia,Leptochelia.dubia,Ldub,detritovore,tanaid,crustacean,yes,,,yes
Lirobittium spp.,Lirobittium.spp.,Bisp,grazer,gastropod,gastropod,yes,**called Lirobittium now see page 727,no,yes
Lottia pelta,Lottia.pelta,Lpel,grazer,gastropod,gastropod,yes,,no,yes
Lyonsia californica,Lyonsia.californica,Lcal,filter.feeder,bivalve,gastropod,no,,no,yes
Margarites helicinus,Margarites.helicinus,Mhel,grazer,gastropod,gastropod,yes,,no,yes
Monocorophium achersicum,Monocorophium.achersicum,Mach,grazer,amphipod,crustacean,yes,u-shaped basket suspension feeding,yes,yes
Mytilus trossulus,Mytilus.trossulus,Mtro,filter.feeder,bivalve,gastropod,sometimes,,hybrid with european,yes
Nebalia sp.,Nebalia.sp.,Nesp,filter.feeder,leptostraca,crustacean,sometimes,,no,yes
Nematode,Nematode,Nems,unknown,nematode,nematode,sometimes,,,
Nemertea,Nemertea,Nmrt,unknown,Nemertean,nemertean,yes,http://link.springer.com/chapter/10.1007%2F978-94-009-4063-5_1,,
Nephtys sp.,Nephtys.sp.,Npsp,predator,deposit feeder,polychaete,no,,no,yes
Nereis sp.,Nereis.sp.,Ners,grazer,polychaete,polychaete,no,,no,yes
Pagurus quaylei,Pagurus.quaylei,Pqua,detritovore,decapod,crustacean,sometimes,,no,yes
Pandalidae,Pandalidae,Pasp,detritovore,decapod,crustacean,sometimes,Pandalus danae**found over seagrass meadows,no,yes
Photis brevipes,Photis.brevipes,Pbre,grazer,amphipod,crustacean,sometimes,marine suspension feeders that build tubes,no,yes
Phyllaplysia taylori,Phyllaplysia.taylori,Ptay,grazer,gastropod,gastropod,yes,,no,yes
Pisaster ochraceus,Pisaster.ochraceus,Poch,predator,echinoderm,echinoderm,no,,no,yes
Platynereis bicanaliculata,Platynereis.bicanaliculata,Pbic,grazer,polychaete,polychaete,sometimes,,,yes
polycheate1,Polychaete1,Odsp,predator,polychaete,polychaete,no,not found here its tropical/atlantic,,no
Pontogeneia rostrata,Pontogeneia.rostrata,Pros,grazer,amphipod,crustacean,sometimes,"found on algae mixed sediment, free living, molars and palps**detritus and phytoplankton",no,yes
Pugettia richii,Pugettia.richii,Pric,detritovore,decapod,crustacean,yes,low intertidal,no,yes
Pycnogonum sp.,Pycnogonum.sp.,Pspp,predator,pychnogonid,other,yes,found at base of anemones on which they feed,,yes
Solaster sp,Solaster.sp.,Sspp,predator,echinoderm,echinoderm,no,I changed the sp to spp,no,yes
Strongylocentrotus sp.,Strongylocentrotus.sp.,Stsp,detritovore,echinoderm,echinoderm,no,I would change it to sometimes,no,yes
Telmessus cheiragonus,Telmessus.cheiragonus,Tche,predator,decapod,crustacean,no,generalist,no,yes
Tetrastemmidae,Tetrastemma.sp.,Tetr,predator,Nemertean,nemertean,no,,,yes
Thick nematode?,Thick.nematode.,Tnem,predator,nematode,nematode,sometimes,,,
